Animal type,Country,Weight kg,Body Length cm,Gender,Latitude,Longitude,Animal name,Observation date,Data compiled by
red squirrel,Hungary,0.278,21,female,47.510304,18.942925,,3/17/2024,Anne Anthony
European bison,Poland,537,287,female,52.8255,23.808386,,3/18/2024,Anne Anthony
red squirrel,Poland,0.346,23,male,52.240737,21.053063,,3/18/2024,Anne Anthony
hedgehog,Czech Republic,1.2,26,male,49.938547,14.180402,,3/18/2024,John Johnson
hedgehog,CZ,0.9,17,male,49.937429,14.18264,,3/18/2024,John Johnson
red squirrel,Czech Republic,0.32,18,female,49.938634,14.179739,,3/18/2024,John Johnson
red squirrel,Czech Republic,0.266,17,male,49.939062,14.177939,,3/18/2024,John Johnson
red squirrel,Poland,0.346,23,male,52.240737,21.053063,,3/18/2024,Anne Anthony
hedgehog,Hungary,1.1,19,female,48.502512,20.563331,,3/19/2024,Anne Anthony
hedgehog,Poland,0.4,16,male,52.214758,21.030697,,3/19/2024,Anne Anthony
hedgehog,Austria,1.1,21,female,47.781212,14.384017,,3/19/2024,Bob Bobson
hedgehog,Austria,0.7,25,male,47.781764,14.38328,,3/19/2024,Bob Bobson
hedgehog,Austria,1.1,24,male,47.781883,14.382628,,3/19/2024,Bob Bobson
hedgehog,Austria,0.4,21,female,47.781093,14.38209,,3/19/2024,Bob Bobson
hedgehog,Germany,0.8,16,male,52.585958,13.147098,Bob Bobson,3/19/2024,Bob Bobson
hedgehog,Germany,0.5,18,female,52.586199,13.152793,Bob Bobson,3/19/2024,Bob Bobson
hedgehog,Germany,0.5,18,male,52.586589,13.146651,Bob Bobson,3/19/2024,Bob Bobson
hedgehog,Germany,0.4,13,female,52.587327,13.149206,Bob Bobson,3/19/2024,Bob Bobson
hedgehog,Germany,1,21,male,52.585937,13.146151,Bob Bobson,3/19/2024,Bob Bobson
hedgehog,Czech Republic,1,17,female,49.937696,14.182707,,3/19/2024,John Johnson
lynx,Slovakia,16,65,male,48.405926,18.839219,,3/19/2024,John Johnson
red squirrel,Slovakia,0.33,18,,48.184757,17.082936,,3/19/2024,John Johnson
red squirrel,Slovakia,0.323,23,female,48.186767,17.089935,,3/19/2024,John Johnson
hedgehog,Poland,0.4,16,female,52.214754,21.034364,,3/20/2024,Anne Anthony
hedgehog,Poland,0.7,26,male,52.215034,21.03303,,3/20/2024,Anne Anthony
red squirel,Poland,0.35,19,female,52.241637,21.05154,,3/20/2024,Anne Anthony
red squirrel,Hungary,0.284,18,female,47.505786,18.943124,,3/20/2024,Anne Anthony
hedgehog,Czech Republic,0.5,13,male,49.937455,14.180775,,3/20/2024,John Johnson
lynx?,Slovakia,17,80,female,48.407449,18.850762,,3/20/2024,John Johnson
red squirel,Poland,0.35,19,female,52.241637,21.05154,,3/20/2024,Anne Anthony
red squirrel,Hungary,0.284,18,female,47.505786,18.943124,,3/20/2024,Anne Anthony
European bison,PL,302,150,female,52.820447,23.813259,,3/21/2024,Anne Anthony
hedgehog,Hungary,1.2,29,male,48.503795,20.555932,,3/21/2024,Anne Anthony
hedgehog,Poland,1.2,25,male,52.214156,21.0325,,3/21/2024,Anne Anthony
lynx,Poland,171,75,male,52.831229,23.814123,,3/21/2024,Anne Anthony
lynx,Poland,18,73,female,52.832726,23.825032,,3/21/2024,Anne Anthony
red squirrel,Poland,0.33,23,male,50.041479,19.951211,,3/21/2024,Anne Anthony
red squirrel,Poland,,,male,50.041154,19.949919,,3/21/2024,Anne Anthony
red squirrel,Hungary,0.315,19,male,47.506414,18.941655,,3/21/2024,Anne Anthony
hedgehog,Austria,0.8,24,male,47.781236,14.382219,,3/21/2024,Bob Bobson
hedgehog,Australia,0.6,14,female,47.781248,14.382649,,3/21/2024,Bob Bobson
hedgehog,DE,1.1,21,male,52.585628,13.149093,Bob Bobson,3/21/2024,Bob Bobson
hedgehog,Germany,1.1,22,female,52.58329,13.149155,Bob Bobson,3/21/2024,Bob Bobson
lynx,Austria,20,74,female,47.781106,14.382184,,3/21/2024,Bob Bobson
red squirrel,Germany,0.323,20,male,52.581896,13.151801,Bob Bobson,3/21/2024,Bob Bobson
red squirrel,DE,0.276,21,female,52.581885,13.152811,Bob Bobson,3/21/2024,Bob Bobson
red squirrel,Germany,0.339,21,male,52.587248,13.151499,Bob Bobson,3/21/2024,Bob Bobson
red squirrell,Germany,0.34,19,female,52.58237,13.146855,Bob Bobson,3/21/2024,Bob Bobson
European bison,CZ,750,242,male,50.638137,14.838129,,3/21/2024,John Johnson
European bison,Czech Republic,35,110,male,50.640733,14.84516,,3/21/2024,John Johnson
European buster,Czech Republic,360,175,female,50.636642,14.847946,,3/21/2024,John Johnson
hedgehog,Czech Republic,1.1,18,female,49.939474,14.180897,,3/21/2024,John Johnson
red squirrel,Czech,0.335,20,male,49.938958,14.181258,,3/21/2024,John Johnson
red squirrel,Slovakia,0.273,23,male,48.185898,17.090683,,3/21/2024,John Johnson
red squirrel,Slovakia,0.33,19,male,48.186672,17.091508,,3/21/2024,John Johnson
red squirrel,Slovakia,0.329,19,female,48.18685,17.091228,,3/21/2024,John Johnson
red squirrel,Poland,0.33,23,male,50.041479,19.951211,,3/21/2024,Anne Anthony
red squirrel,Poland,,,male,50.041154,19.949919,,3/21/2024,Anne Anthony
red squirrel,Hungary,0.315,19,male,47.506414,18.941655,,3/21/2024,Anne Anthony
European bison,Poland,1000,320,male,52.82547,23.81307,Klucha,3/22/2024,Anne Anthony
hedgehog,Hungary,1.1,18,male,48.503062,20.551698,,3/22/2024,Anne Anthony
red squirrel,DE,0.306,23,male,52.584352,13.148089,Bob Bobson,3/22/2024,Bob Bobson
red squirrel,Germany,0.334,19,male,52.587863,13.147785,Bob Bobson,3/22/2024,Bob Bobson
red squirrel,Germany,0.334,21,male,52.587734,13.151378,Bob Bobson,3/22/2024,Bob Bobson
red squirrel,Germany,0.329,19,female,52.582754,13.145364,Bob Bobson,3/22/2024,Bob Bobson
red squirrel,Germany,0.317,22,male,52.585517,13.150878,Bob Bobson,3/22/2024,Bob Bobson
red squirrel,Germany,0.267,21,female,52.588834,13.15192,Bob Bobson,3/22/2024,Bob Bobson
European bison,CC,603,291,male,50.644813,14.839817,,3/22/2024,John Johnson
European bison,CC,717,305,male,50.635565,14.83932,,3/22/2024,John Johnson
European bison™,Czech Republic,390,145,female,50.639856,14.847626,,3/22/2024,John Johnson
hedgehog,Czech Republic,0.6,21,female,49.939062,14.17875,,3/22/2024,John Johnson
hedgehog,CZ,1.1,21,male,49.939165,14.182528,,3/22/2024,John Johnson
hedgehog,Czech Republic,0.7,18,female,49.937562,14.181101,,3/22/2024,John Johnson
hedgehog,Czech Republic,1.2,23,male,49.939201,14.178923,,3/22/2024,John Johnson
lynx,Slovakia,25,96,female,48.410693,18.832845,,3/22/2024,John Johnson
European bison,Poland,660,246,female,52.824079,23.81279,,3/23/2024,Anne Anthony
European bison,Poland,619,248,female,52.826081,23.815823,,3/23/2024,Anne Anthony
hedgehog,HU,0.6,19,female,48.503498,20.539662,,3/23/2024,Anne Anthony
hedgehog,Hungary,0.8,25,male,48.509298,20.551977,,3/23/2024,Anne Anthony
hedgehog,Hungary,0.4,15,female,48.506206,20.565308,,3/23/2024,Anne Anthony
hedgehog,Hungary,1.1,22,male,48.50509,20.539448,,3/23/2024,Anne Anthony
hedgehog,Poland,0.8,20,female,52.215039,21.032591,,3/23/2024,Anne Anthony
hedgehog,Poland,0.5,19,female,52.215085,21.034198,,3/23/2024,Anne Anthony
red squirrel,Poland,0.348,20,female,50.04186,19.950192,,3/23/2024,Anne Anthony
red squirrel,Hungary,0.301,18,male,47.51026,18.947838,,3/23/2024,Anne Anthony
hedgehog,Czech Republic,0.7,20,female,49.937454,14.182121,,3/23/2024,John Johnson
hedgehog,Czech Republic,1,21,female,49.937788,14.180368,,3/23/2024,John Johnson
red squirrel,Poland,0.348,20,female,50.04186,19.950192,,3/23/2024,Anne Anthony
red squirrel,Hungary,0.301,18,male,47.51026,18.947838,,3/23/2024,Anne Anthony
red squirrel,PL,0.286,20,female,50.04113,19.949698,,3/24/2024,Anne Anthony
red squirrel,Poland,0.282,21,female,50.041522,19.950563,Zuzia,3/24/2024,Anne Anthony
hedgehog,Austria,0.8,18,male,47.781882,14.384802,,3/24/2024,Bob Bobson
hedgehog,Austria,0.6,19,male,47.781019,14.385089,,3/24/2024,Bob Bobson
hedgehog,Austria,0.5,20,male,47.319782,11.190836,,3/24/2024,Bob Bobson
hedgehog,Austria,0.6,16,female,47.32002,11.18557,,3/24/2024,Bob Bobson
hedgehog,Austria,0.6,20,male,47.318793,11.185855,,3/24/2024,Bob Bobson
hedgehog,Austria,1.1,23,female,47.316963,11.188761,,3/24/2024,Bob Bobson
hedgehog,DE,0.8,16,male,52.582072,13.149185,,3/24/2024,Bob Bobson
hedgehog,Germany,1.2,23,male,52.58572,13.148613,,3/24/2024,Bob Bobson
hedgehog,Germany,0.7,19,female,52.587827,13.148164,,3/24/2024,Bob Bobson
hedgehog,Germany,0.9,151,female,52.583004,13.150686,,3/24/2024,Bob Bobson
hedgehog,Germany,1.2,22,male,52.587058,13.149675,,3/24/2024,Bob Bobson
hedgehog,Germany,0.7,16,female,52.587539,13.146575,,3/24/2024,Bob Bobson
hedgehog,Germany,0.6,25,male,52.587183,13.146661,,3/24/2024,Bob Bobson
hedgehog,Germany,1,24,male,52.586487,13.150015,,3/24/2024,Bob Bobson
red squirrel,Germany,0.313,23,female,52.588779,13.147948,,3/24/2024,Bob Bobson
red squirrel,Germany,0.268,21,male,52.587089,13.151807,,3/24/2024,Bob Bobson
red squirrel,Austria,0.323,21,male,47.781847,14.386835,,3/24/2024,Bob Bobson
red squirrel,Austria,0.272,20,female,47.781296,14.383799,,3/24/2024,Bob Bobson
red squirrel,Austria,0.34,20,male,47.781538,14.384561,,3/24/2024,Bob Bobson
red squirrel,Austria,0.332,18,female,47.781345,14.382936,,3/24/2024,Bob Bobson
red squirrell,Germany,0.286,19,female,52.582658,13.148057,,3/24/2024,Bob Bobson
hedgehog,Czech Republic,0.8,18,male,49.938688,14.179603,,3/24/2024,John Johnson
red squirrel,Czech Republic,0.336,22,female,49.939212,14.180839,,3/24/2024,John Johnson
red squirrel,Slovakia,0.2,14,female,48.186611,17.090271,,3/24/2024,John Johnson
red squirrel,PL,0.286,20,female,50.04113,19.949698,,3/24/2024,Anne Anthony
red squirrel,Poland,0.282,21,female,50.041522,19.950563,Zuzia,3/24/2024,Anne Anthony
hedgehog,Poland,0.9,22,female,52.214494,21.033154,,3/25/2024,Anne Anthony
hedgehog,Poland,1,21,male,52.214419,21.033441,,3/25/2024,Anne Anthony
hedgehog,CZ,0.4,12,female,49.937893,14.18083,,3/25/2024,John Johnson
red squirrel,Czech Republic,0.336,23,male,49.939262,14.179613,,3/25/2024,John Johnson
red squirrel,Slovakia,0.254,18,male,48.239854,17.086693,,3/25/2024,John Johnson
red squirrel,Slovakia,0.294,23,male,48.22668,17.081529,,3/25/2024,John Johnson
red squirrel,Slovakia,0.265,22,female,48.23862,17.074393,,3/25/2024,John Johnson
European bison,Poland,823,305,male,52.82429,23.813465,,3/26/2024,Anne Anthony
European bison,Poland,594,243,male,52.825554,23.812594,,3/26/2024,Anne Anthony
red squirrel,Poland,0.31,24,male,50.041235,19.951284,,3/26/2024,Anne Anthony
red squirrel,Hungary,-0.251,20,female,47.508618,18.944915,,3/26/2024,Anne Anthony
hedgehog,Czech Republic,0.7,16,male,49.93915,14.179388,,3/26/2024,John Johnson
hedgehog,Czech Republic,0.6,17,female,49.938346,14.18024,,3/26/2024,John Johnson
red squirrel,Poland,0.31,24,male,50.041235,19.951284,,3/26/2024,Anne Anthony
red squirrel,Hungary,-0.251,20,female,47.508618,18.944915,,3/26/2024,Anne Anthony
hedgehog,Poland,1.1,20,female,52.214766,21.030532,,3/27/2024,Anne Anthony
red squirrel,Poland,0.336,19,male,50.041489,19.950768,Lolek,3/27/2024,Anne Anthony
hedgehog,Germany,0.7,23,female,52.587532,13.152361,,3/27/2024,Bob Bobson
hedgehog,DE,0.7,17,male,48.161584,11.494938,,3/27/2024,Bob Bobson
hedgehog,Germany,0.9,18,female,48.160459,11.493142,,3/27/2024,Bob Bobson
hedgehog,Germany,0.5,20,male,48.160834,11.489874,,3/27/2024,Bob Bobson
hedgehog,Czech Republic,0.5,16,male,49.938845,14.182246,,3/27/2024,John Johnson
hedgehog,Czech Republic,0.8,17,female,49.938959,14.180078,,3/27/2024,John Johnson
red squirrel,CZ,0.277,22,male,49.939097,14.179435,,3/27/2024,John Johnson
red squirrel,Slovakia,0.321,18,female,48.226708,17.087853,,3/27/2024,John Johnson
red squirrell,Czech Republic,0.271,19,female,49.938523,14.18244,,3/27/2024,John Johnson
red squirrel,Poland,0.336,19,male,50.041489,19.950768,Lolek,3/27/2024,Anne Anthony
European bison,Poland,510,222,female,52.807537,23.700909,,3/28/2024,Anne Anthony
red squirrel,Poland,0.328,23,female,50.041504,19.950218,,3/28/2024,Anne Anthony
red squirrel,Poland,0.278,23,female,50.041119,19.94973,,3/28/2024,Anne Anthony
hedgehog,Czech Republic,0.6,18,female,49.937805,14.179716,,3/28/2024,John Johnson
hedgehog,Czech Republic,0.7,15,female,49.93933,14.177877,,3/28/2024,John Johnson
red squirrel,Poland,0.328,23,female,50.041504,19.950218,,3/28/2024,Anne Anthony
red squirrel,Poland,0.278,23,female,50.041119,19.94973,,3/28/2024,Anne Anthony
red squirrel,Hungary,0.273,23,female,47.507157,18.940379,,3/29/2024,Anne Anthony
red squirrel,Austria,0.336,20,female,47.780752,14.383452,Bibi,3/29/2024,Bob Bobson
red squirrel,Austria,0.29,19,male,47.781078,14.384559,,3/29/2024,Bob Bobson
red squirrell,Austria,0.337,22,male,47.781088,14.385534,,3/29/2024,Bob Bobson
hedgehog,Slovakia,0.7,16,male,48.409138,18.863577,,3/29/2024,John Johnson
lynx,Slovakia,16,62,female,48.409448,18.845591,,3/29/2024,John Johnson
red squirrel,Hungary,0.273,23,female,47.507157,18.940379,,3/29/2024,Anne Anthony
red squirrel,Poland,0.289,24,male,50.041382,19.949403,,3/30/2024,Anne Anthony
hedgehog,Germany,1.1,25,male,48.160773,11.49368,,3/30/2024,Bob Bobson
hedgehog,Germany,0.6,15,female,48.160813,11.492539,,3/30/2024,Bob Bobson
hedgehog,Germany,0.5,20,female,48.161605,11.49115,,3/30/2024,Bob Bobson
hedgehog,Germany,0.7,20,male,48.162593,11.491872,,3/30/2024,Bob Bobson
hedgehog,Germany,0.6,15,female,48.16142,11.495056,,3/30/2024,Bob Bobson
hedgehog,Germany,0.5,16,female,48.162549,11.492991,,3/30/2024,Bob Bobson
hedgehog,Germany,0.9,19,male,48.161646,11.493511,,3/30/2024,Bob Bobson
lynx,Slovakia,21,85,male,48.405213,18.84085,,3/30/2024,John Johnson
red squirrel,Czech Republic,0.288,18,male,49.939,14.182239,,3/30/2024,John Johnson
red squirrel,Slovakia,0.287,21,male,48.224897,17.085979,,3/30/2024,John Johnson
red squirrel,Slovakia,0.286,18,male,48.228961,17.076478,,3/30/2024,John Johnson
red squirrel,Poland,0.289,24,male,50.041382,19.949403,,3/30/2024,Anne Anthony
European bison,Poland,970,307,male,52.805402,23.691244,,3/31/2024,Anne Anthony
red squirrel,Poland,0.323,20,female,50.041366,19.949444,,3/31/2024,Anne Anthony
red squirrel,Hungary,-0.25,19,female,47.509538,18.945968,,3/31/2024,Anne Anthony
hedgehog,Slovakia,0.9,19,female,48.407464,18.87406,,3/31/2024,John Johnson
lynx,Slovakia,20,78,female,48.40979,18.870341,,3/31/2024,John Johnson
red squirrel,Poland,0.323,20,female,50.041366,19.949444,,3/31/2024,Anne Anthony
red squirrel,Hungary,-0.25,19,female,47.509538,18.945968,,3/31/2024,Anne Anthony
European bison,Poland,459,212,female,52.807403,23.683044,,4/1/2024,Anne Anthony
European bison,Poland,705,280,female,52.803733,23.686928,,4/1/2024,Anne Anthony
red squirrel,Poland,0.323,19,female,50.041804,19.951361,,4/1/2024,Anne Anthony
red squirrel,Hungary,0.337,18,female,47.511558,18.942454,,4/1/2024,Anne Anthony
hedgehog,Slovakia,1.1,22,male,48.409754,18.870477,,4/1/2024,John Johnson
lynx,Czech Republic,26,81,female,50.884012,14.370554,,4/1/2024,John Johnson
red squirrel,Czech Republic,0.283,22,female,49.939191,14.180256,,4/1/2024,John Johnson
red squirrel,Slovakia,0.26,22,female,48.23123,17.090253,,4/1/2024,John Johnson
red squirrel,Poland,0.323,19,female,50.041804,19.951361,,4/1/2024,Anne Anthony
red squirrel,Hungary,0.337,18,female,47.511558,18.942454,,4/1/2024,Anne Anthony
hedgehog,Hungary,0.6,20,female,48.504425,20.548744,,4/2/2024,Anne Anthony
lynx,Poland,22,101,male,52.824599,23.816842,,4/2/2024,Anne Anthony
red squirrel,Poland,0.294,19,male,50.041131,19.949543,,4/2/2024,Anne Anthony
red squirrel,Poland,,,male,50.041552,19.949984,,4/2/2024,Anne Anthony
red squirrel,Poland,0.312,23,female,50.041945,19.94932,Lola,4/2/2024,Anne Anthony
red squirrel,Poland,0.29,24,male,50.041925,19.950894,,4/2/2024,Anne Anthony
red squirrel,Hungary,0.258,21,female,47.511582,18.942341,,4/2/2024,Anne Anthony
hedgehog,Austria,0.8,15,female,47.319091,11.188058,,4/2/2024,Bob Bobson
hedgehog,Germany,0.8,18,male,48.161892,11.493888,,4/2/2024,Bob Bobson
hedgehog,Germany,0.6,15,female,48.161218,11.494677,,4/2/2024,Bob Bobson
hedgehog,Germany,0.8,23,male,48.161452,11.495239,,4/2/2024,Bob Bobson
hedgehog,Germany,0.6,16,female,48.160915,11.489927,,4/2/2024,Bob Bobson
hedgehog,Germany,0.7,19,male,48.162169,11.495473,,4/2/2024,Bob Bobson
hedgehog,Germany,1,25,female,49.54629,11.085729,,4/2/2024,Bob Bobson
hedgehog,Germany,1.1,23,male,49.559558,11.08115,,4/2/2024,Bob Bobson
red squirrel,Austria,0.273,19,female,47.781613,14.385153,,4/2/2024,Bob Bobson
red squirrel,Austria,0.33,18,female,47.781637,14.385383,,4/2/2024,Bob Bobson
red squirrel,Austria,0.262,18,female,47.781838,14.382938,,4/2/2024,Bob Bobson
red squirrel,Austria,0.31,19,female,47.780925,14.383695,,4/2/2024,Bob Bobson
red squirrel,Austria,0.334,21,female,47.781449,14.383421,,4/2/2024,Bob Bobson
red squirrel,Austria,0.27,20,female,47.7818,14.383699,,4/2/2024,Bob Bobson
red squirrel,Austria,0.277,18,male,47.781073,14.383506,,4/2/2024,Bob Bobson
red squirrel,Germany,0.258,19,male,48.162251,11.494811,,4/2/2024,Bob Bobson
red squirrel,Germany,0.256,16,female,48.160432,11.494472,,4/2/2024,Bob Bobson
red squirrel,Germany,0.317,21,female,48.162563,11.495277,,4/2/2024,Bob Bobson
red squirrel,Germany,0.266,18,female,48.161906,11.490434,,4/2/2024,Bob Bobson
red squirrel,Germany,0.283,21,male,49.562324,11.092212,,4/2/2024,Bob Bobson
red squirrel,Germany,0.305,18,female,49.561973,11.086554,,4/2/2024,Bob Bobson
red squirrell,Austria,0.282,18,male,47.781755,14.385083,,4/2/2024,Bob Bobson
red squirrell,Germany,0.318,18,male,49.557527,11.089447,,4/2/2024,Bob Bobson
lynx,Slovakia,27,94,female,48.411163,18.864362,,4/2/2024,John Johnson
red squirrel,Slovakia,0.339,20,male,48.410771,18.865888,,4/2/2024,John Johnson
red squirrel,Slovakia,0.302,19,male,48.410201,18.862513,,4/2/2024,John Johnson
red squirrel,Slovakia,0.276,19,male,48.408111,18.865646,,4/2/2024,John Johnson
red squirrel,Slovakia,0.252,19,female,48.410932,18.861704,,4/2/2024,John Johnson
red squirrel,Slovakia,0.293,19,male,48.227614,17.072903,,4/2/2024,John Johnson
red squirrel,Poland,0.294,19,male,50.041131,19.949543,,4/2/2024,Anne Anthony
red squirrel,Poland,,,male,50.041552,19.949984,,4/2/2024,Anne Anthony
red squirrel,Poland,0.312,23,female,50.041945,19.94932,Lola,4/2/2024,Anne Anthony
red squirrel,Poland,0.29,24,male,50.041925,19.950894,,4/2/2024,Anne Anthony
red squirrel,Hungary,0.258,21,female,47.511582,18.942341,,4/2/2024,Anne Anthony
red squirrel,Hungary,0.286,18,male,47.50826,18.948349,,4/3/2024,Anne Anthony
hedgehog,Germany,1.2,22,male,49.551211,11.077661,,4/3/2024,Bob Bobson
hedgehog,Germany,0.9,23,female,49.562583,11.082312,,4/3/2024,Bob Bobson
hedgehog,Germany,0.7,23,female,49.547597,11.079679,,4/3/2024,Bob Bobson
hedgehog,Slovakia,1.2,26,male,48.40912,18.869274,,4/3/2024,John Johnson
red squirrel,Czech Republic,0.258,21,female,49.938787,14.178284,,4/3/2024,John Johnson
red squirrel,Hungary,0.286,18,male,47.50826,18.948349,,4/3/2024,Anne Anthony
European bison,Poland,1000,295,male,52.809543,23.708564,,4/4/2024,Anne Anthony
hedgehog,Hungary,0.7,23,female,47.508516,18.949429,,4/4/2024,Anne Anthony
hedgehog,Hungary,1.2,24,male,47.508941,18.948915,,4/4/2024,Anne Anthony
red squirrel,Poland,0.337,22,female,50.041819,19.951542,,4/4/2024,Anne Anthony
red squirrel,Poland,0.272,23,female,50.0418,19.950244,,4/4/2024,Anne Anthony
red squirrel,Hungary,0.262,22,male,47.508905,18.94657,,4/4/2024,Anne Anthony
red squirrel,Poland,0.337,22,female,50.041819,19.951542,,4/4/2024,Anne Anthony
red squirrel,Poland,0.272,23,female,50.0418,19.950244,,4/4/2024,Anne Anthony
red squirrel,Hungary,0.262,22,male,47.508905,18.94657,,4/4/2024,Anne Anthony
European bison,Poland,557,255,female,52.811204,23.697814,,4/5/2024,Anne Anthony
hedgehog,Hungary,0.8,17,female,47.507073,18.947873,,4/5/2024,Anne Anthony
hedgehog,Austria,0.9,22,female,47.31758,11.187606,,4/5/2024,Bob Bobson
hedgehog,Austria,0.8,16,male,47.31947,11.18573,,4/5/2024,Bob Bobson
hedgehog,Austria,0.7,18,male,47.319812,11.18479,,4/5/2024,Bob Bobson
hedgehog,Austria,0.8,20,female,47.316383,11.188381,,4/5/2024,Bob Bobson
red squirrel,Austria,0.299,20,female,47.781131,14.382207,,4/5/2024,Bob Bobson
red squirrel,Australia,0.266,20,female,47.781632,14.382365,,4/5/2024,Bob Bobson
red squirrel,Austria,0.308,18,male,47.780904,14.385669,,4/5/2024,Bob Bobson
red squirrel,Austria,0.264,22,male,47.781089,14.385211,,4/5/2024,Bob Bobson
red squirrel,Austria,0.322,20,male,47.781333,14.382547,,4/5/2024,Bob Bobson
red squirrel,Austria,0.332,18,female,47.780927,14.382188,,4/5/2024,Bob Bobson
red squirrel,Austria,0.253,21,male,47.856032,15.076768,,4/5/2024,Bob Bobson
red squirrel,Germany,0.317,20,female,49.545913,11.081051,,4/5/2024,Bob Bobson
red squirrel,Germany,0.327,20,male,49.550428,11.077659,,4/5/2024,Bob Bobson
red squirrel,Germany,0.255,19,female,49.558869,11.076638,,4/5/2024,Bob Bobson
hedgehog,Slovakia,0.8,21,female,48.412408,18.869074,,4/5/2024,John Johnson
lynx,Czech Republic,15,70,male,50.883894,14.372364,,4/5/2024,John Johnson
red squirrel,Slovakia,0.3,19,female,48.229837,17.089218,,4/5/2024,John Johnson
European buster,Poland,589,279,female,52.808704,23.705504,,4/6/2024,Anne Anthony
hedgehog,HU,0.7,16,female,47.510231,18.940042,,4/6/2024,Anne Anthony
hedgehog,Hungary,0.8,14,female,47.509073,18.946838,,4/6/2024,Anne Anthony
red squirrel,Poland,0.348,23,male,50.041252,19.950033,,4/6/2024,Anne Anthony
red squirrel,Austria,0.294,22,male,47.855007,15.076539,,4/6/2024,Bob Bobson
red squirrel,Germany,0.299,19,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.314,19,female,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.297,20,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.298,21,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.301,19,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.267,20,female,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.315,21,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.3,21,female,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.3,21,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.264,22,female,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.251,21,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.302,22,female,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.262,22,female,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.301,20,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.243,19,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.314,20,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.244,20,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.25,22,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.272,20,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.289,20,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.315,20,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.304,21,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.241,19,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.248,22,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.243,19,male,,,,4/6/2024,Bob Bobson
red squirrel,Germany,0.29,21,male,,,,4/6/2024,Bob Bobson
,Austria,0.319,20,male,,,,4/6/2024,Bob Bobson
,Austria,0.292,19,female,,,,4/6/2024,Bob Bobson
,Austria,0.319,19,female,,,,4/6/2024,Bob Bobson
,Austria,0.298,20,male,,,,4/6/2024,Bob Bobson
,Austria,0.255,22,male,,,,4/6/2024,Bob Bobson
,Austria,0.3,20,male,,,,4/6/2024,Bob Bobson
,Austria,0.252,21,male,,,,4/6/2024,Bob Bobson
hedgehog,Slovakia,0.8,17,male,48.409645,18.872415,,4/6/2024,John Johnson
lynx?,Czech Republic,26,88,female,50.883881,14.373018,,4/6/2024,John Johnson
red squirrel,Czech Republic,0.316,23,female,49.93931,14.181266,,4/6/2024,John Johnson
red squirrel,Czech Republic,0.327,21,male,49.938616,14.181291,,4/6/2024,John Johnson
red squirrel,Czech Republic,0.288,18,male,49.937839,14.179075,,4/6/2024,John Johnson
red squirrel,Czech Republic,0.313,22,female,49.939308,14.180747,,4/6/2024,John Johnson
red squirrel,Poland,0.348,23,male,50.041252,19.950033,,4/6/2024,Anne Anthony
European bison™,Poland,1100,350,male,52.803316,23.686301,,4/7/2024,Anne Anthony
hedgehog,Hungary,0.9,16,female,47.506638,18.940091,,4/7/2024,Anne Anthony
lynx,Poland,23,73,male,52.823016,23.812286,,4/7/2024,Anne Anthony
red squirrel,Hungary,0.319,18,male,47.508665,18.940456,,4/7/2024,Anne Anthony
red squirrell,Hungary,0.28,21,female,47.510978,18.942963,,4/7/2024,Anne Anthony
red squirrel,Austria,0.264,22,female,47.857586,15.081328,,4/7/2024,Bob Bobson
red squirrel,Austria,0.334,19,male,47.856971,15.078984,,4/7/2024,Bob Bobson
red squirrel,Austria,0.278,21,male,47.856769,15.076411,,4/7/2024,Bob Bobson
red squirrel,Austria,0.333,22,female,47.855379,15.077237,Lola,4/7/2024,Bob Bobson
red squirrel,Austria,0.323,23,male,47.856015,15.08325,,4/7/2024,Bob Bobson
hedgehog,Slovakia,1.1,16,female,48.413154,18.875356,,4/7/2024,John Johnson
red squirrel,Hungary,0.319,18,male,47.508665,18.940456,,4/7/2024,Anne Anthony
red squirrell,Hungary,0.28,21,female,47.510978,18.942963,,4/7/2024,Anne Anthony
red squirrel,PL,0.265,22,female,50.041147,19.95046,,4/8/2024,Anne Anthony
